customerID,phoneNumber,age,gender,planType,tenure,numDeviceOwned,numOfCalls,totalCallDuration,numOfSMS,dataUsage,prevMonthlyFee,totalFee,countOverduePayment,countBarSuspend,creditScore,applicationResult
41-9172661,748 363 1391,65,Female,Prepaid,70,1,126,28030.37,25,160.03,91.96,2906.97,,2,29,0
03-4793596,891 578 5403,52,Male,Postpaid,56,2,31,27445.11,198,108.6,64.51,1364.46,1,2,38,0
70-2238732,328 344 2812,39,Female,Postpaid,92,1,82,23842.01,7,101.2,62.25,937.86,2,1,76,1
58-2142708,988 512 8553,25,Male,Postpaid,25,1,200,8875.92,58,42.57,86.23,3460.13,,,72,1
36-4517545,586 612 3668,29,Female,Postpaid,25,1,92,23755.46,123,21.95,79.88,3074,1,1,59,1
26-1376628,653 877 9270,21,Male,Postpaid,25,1,141,28289.44,93,185.63,84.71,1531.26,1,,63,1
99-0257942,345 100 8036,42,Female,Prepaid,25,1,70,12885.24,159,147.5,53.07,3471.97,2,1,55,1
33-9113162,886 369 5129,43,Male,Postpaid,25,1,86,19344.27,84,190,103.56,3069.98,1,,68,1
61-4569789,430 733 0218,18,Male,Postpaid,25,1,128,4062.19,192,12.55,80.02,656.07,2,,53,1
16-4949205,368 439 8925,21,Female,Prepaid,25,1,197,16933.72,35,89.31,81.59,3571.52,1,1,60,1
46-7304933,935 529 6864,43,Male,Postpaid,26,1,101,16127.92,69,97.39,71.81,678.47,,1,63,1
05-5367562,768 994 0743,26,Female,Postpaid,26,1,172,17006.16,111,183.77,42.61,3062.74,1,,90,1
50-3819166,723 220 8650,34,Female,Prepaid,26,1,6,1030.51,101,46.61,48.85,694.88,,,72,1
74-1439905,136 369 5316,37,Male,Prepaid,26,1,118,28615.64,143,67.64,96.04,2622.69,1,,73,1
86-2705575,831 340 0899,43,Female,Postpaid,26,1,66,11034.17,21,188.38,57.6,1475.72,,,81,1
81-6371629,121 268 3791,20,Male,Prepaid,27,1,3,5588.96,34,194.59,51.81,2608.01,2,1,64,1
23-1833712,752 287 5387,36,Female,Postpaid,27,1,157,19139.44,40,196,75.26,3458.35,1,,78,1
74-9953084,482 779 4387,36,Female,Prepaid,27,1,52,20373.76,48,25.64,102.93,2109.77,,1,58,1
25-7444259,637 281 7911,43,Female,Postpaid,27,1,162,5790.3,61,166.22,36.28,484.58,2,,75,1
99-2430065,334 287 2276,20,Female,Prepaid,27,1,195,7567.23,7,52.42,83.78,2935.94,,,81,1
65-2125059,616 598 8539,32,Female,Postpaid,28,1,13,23629.5,183,53.25,62.62,1865.53,,1,54,1
24-8303958,968 635 0853,25,Female,Postpaid,28,1,83,13193.39,122,28.3,44.85,808.36,1,,69,1
64-8958777,856 915 3813,32,Male,Postpaid,28,1,110,7675.8,25,173.83,106.09,2682.17,1,,54,1
92-4578415,651 929 8090,29,Female,Postpaid,29,1,131,18579.37,61,193.91,70.8,1387.69,,,52,1
78-7863284,538 177 6157,32,Female,Prepaid,29,1,154,10884.5,165,87.13,107.04,2551.91,1,1,76,1
41-5251087,299 629 2583,44,Female,Prepaid,29,1,30,23005.32,106,32.3,58.21,1223,,,57,1
03-7820862,731 611 1634,33,Male,Postpaid,29,1,30,29242.33,159,156.25,37.88,2332.55,,,77,1
38-7810120,154 272 5099,36,Female,Postpaid,30,1,95,10457.22,104,24.43,101.89,3010.87,1,,66,1
00-3464383,646 332 8072,32,Male,Postpaid,30,1,25,21151.03,66,153.53,95.12,1205.65,2,1,51,1
34-4144042,211 176 2891,22,Male,Prepaid,30,1,181,2832.18,63,103.07,101.92,958.71,1,,60,1
03-9844628,285 603 3850,35,Male,Postpaid,30,1,12,7508.82,82,93.22,84.8,1619.71,1,,84,1
17-5534257,173 330 3320,37,Female,Postpaid,31,1,21,19475.53,56,21.52,48.14,880.65,1,,57,1
93-4275969,954 552 3679,34,Female,Postpaid,31,1,82,15963.81,143,130.71,101.84,919.54,1,,79,1
30-0934230,822 175 5392,42,Female,Postpaid,31,1,164,1045.01,116,88.94,87.84,2452.29,1,,80,1
02-0215641,770 536 1690,41,Male,Prepaid,31,1,101,12080.38,34,37.42,62.07,326.35,2,1,57,1
38-0243920,789 140 3235,32,Male,Prepaid,31,1,66,25866.97,151,130.25,81.22,1579.31,2,,63,1
25-8152949,605 160 5863,27,Female,Prepaid,31,1,154,29123.44,162,76.94,90.97,1724.5,,,70,1
88-4028819,899 966 4950,38,Female,Postpaid,32,1,4,4200.51,172,102.08,95.52,1989.64,,,52,1
46-7126580,254 877 1628,30,Male,Postpaid,32,1,33,11932.44,94,33.74,33.41,2851.22,1,,55,1
41-5861295,967 727 9544,28,Male,Postpaid,32,1,170,14897.28,190,17.51,104.31,2169.83,,,60,1
53-1757503,714 183 4883,22,Female,Postpaid,32,1,175,8585.79,174,103.3,71.99,1782.56,1,1,74,1
23-6560222,575 638 5639,26,Male,Postpaid,32,1,94,5115.27,84,191.19,55.72,2076.59,1,,72,1
05-0243548,998 654 0277,22,Female,Prepaid,33,1,131,1958.76,135,177.56,61.34,1986.91,1,,78,1
09-2489233,376 709 0292,38,Male,Postpaid,33,1,151,25040.92,47,25.75,88.76,2830.89,,,75,1
29-2290110,474 632 0126,29,Female,Prepaid,33,1,145,14109.82,179,23.07,86.39,2927.62,1,,53,1
62-7034486,902 984 9087,22,Male,Prepaid,33,1,40,25105.35,23,56.66,49.42,2534.97,,,88,1
77-6750633,546 476 4571,23,Female,Prepaid,33,1,116,17623,131,129.47,77.18,1976.75,,,82,1
29-3558078,788 472 1224,27,Male,Postpaid,34,1,199,17274.45,29,36.62,40.41,907.65,1,1,78,1
